codigo;institucion
2361;INSTITUTO TECNOLOGICO SUPERIOR SANTIAGO DE GUAYAQUIL
2371;INSTITUTO TECNOLOGICO SUPERIOR VICENTE ROCAFUERTE
2375;INSTITUTO TECNOLOGICO SUPERIOR CRECERMAS
2376;INSTITUTO TECNOLOGICO SUPERIOR BENJAMIN ROSALES PAREJA
2377;INSTITUTO TECNOLOGICO SUPERIOR MAYOR PEDRO TRAVERSARI
2378;INSTITUTO TECNOLOGICO SUPERIOR MANUEL LEZAETA ACHARAN
2379;INSTITUTO TECNOLOGICO SUPERIOR DE DESARROLLO INTEGRAL DE LA PERSONA
2380;INSTITUTO TECNOLOGICO SUPERIOR SECAP
2385;INSTITUTO TECNOLOGICO SUPERIOR KEVIN
2386;INSTITUTO TECNOLOGICO SUPERIOR ORIENTE
2397;INSTITUTO TECNOLOGICO SUPERIOR BOLIVARIANO DE TECNOLOGIA
2401;INSTITUTO TECNOLOGICO SUPERIOR SAN ISIDRO
2402;INSTITUTO TECNOLOGICO SUPERIOR BOLIVARIANO
2440;INSTITUTO TECNOLOGICO SUPERIOR EL CONDOR
3002;INSTITUTO SUPERIOR TECNOLOGICO FRANKLIN VERDUGA
3003;INSTITUTO TECNOLOGICO SUPERIOR TUNGURAHUA
